set_name,Release Date,English Set Name,Japanese Set Name,No Rarity,1st edition,Unlimited,# in Set,Have Images?,Type of Card Done?,Japanese Name Done?,English Name Done?,Stage Done?,Type Done?,Artist Done?,Other Notes,Links
,"July 10, 2008",Giratina vs Dialga Deck Kit,対戦スターターパック ギラティナVSディアルガ,,,,28,0%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Giratina_vs_Dialga_Deck_Kit_(TCG)
,"July 19, 2008",11th Movie Commemoration Set,映画公開記念　プレミアムシート,,,,9,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/11th_Movie_Commemoration_Set_(TCG)
DPt Era,,,,,,,,,,,,,,,,
DPt-P,October 2008 - August 2009,DPt-P Promotional cards,,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/DPt-P_Promotional_cards_(TCG)
DPt01,"October 10, 2008",Galactic's Conquest,ギンガの覇道,,Yes,Yes,,0%,No,No,Yes,No,No,No,,
,"October 10, 2008",Entry Pack DPt Giratina Half Deck,エントリーパック,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Entry_Pack_DPt_(TCG)
,"October 10, 2008",Entry Pack DPt Dialga Half Deck,エントリーパック,,,,,,No,No,Yes,No,No,No,,
,"October 10, 2008",Entry Pack DPt Palkia Half Deck,エントリーパック,,,,,,No,No,Yes,No,No,No,,
,"November 20, 2008",Gift Box DPt Chimchar Half Deck,DPt ギフトボックス,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Gift_Box_DPt_(TCG)
,"November 20, 2008",Gift Box DPt Turtwig Half Deck,DPt ギフトボックス,,,,,,No,No,Yes,No,No,No,,
,"November 20, 2008",Gift Box DPt Piplup Half Deck,DPt ギフトボックス,,,,,,No,No,Yes,No,No,No,,
,"November 20, 2008",Gift Box DPt Pikachu Half Deck,DPt ギフトボックス,,,,,,No,No,Yes,No,No,No,,
DPt02,"December 26, 2008",Bonds to the End of Time,時の果ての絆,,Yes,Yes,,0%,No,No,Yes,No,No,No,,
,"December 26, 2008",Infernape vs Gallade SP Deck Kit - Infernape,対戦スターターパックSP ゴウカザルVSエルレイド,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Infernape_vs_Gallade_SP_Deck_Kit_(TCG)
,"December 26, 2008",Infernape vs Gallade SP Deck Kit - Gallade,対戦スターターパックSP ゴウカザルVSエルレイド,,,,,,No,No,Yes,No,No,No,,
DPt03,"March 6, 2009",Beat of the Frontier,フロンティアの鼓動,,Yes,Yes,,0%,No,No,Yes,No,No,No,,
